张宇1000题 习题册正确率记录,,,,
,,,,
章节,日期,总题目,正确数,正确率
基础篇,,,,
高等数学,,,,
零基础,,10,10,1
第1章 函数极限与连续,,23,20,0.8695652173913043
第2章 数列极限,,12,11,0.9166666666666666
第3章 一元函数微分学的概念,,15,12,0.8
第4章 一元函数微分学的计算,,18,15,0.8333333333333334
第5章 一元函数微分学的应用(一) ——几何应用,,24,18,0.75
第6章 一元函数微分学的应用(二) ——中值定理、微分等式与微分不等式,,22,20,0.9090909090909091
第7章 一元函数微分学的应用(三) ——物理应用,,,,
第8章 一元函数积分学的概念与性质,,25,24,0.96
第9章 一元函数积分学的计算,,36,28,0.7777777777777778
第10章 一元函数积分学的应用(一) ——几何应用,,19,10,0.5263157894736842
第11章 一元函数积分学的应用(二) ——积分等式与积分不等式,,,,
第12章 一元函数积分学的应用(三) ——物理应用,,,,
第13章 多元函数微分学,,,,
第14章 二重积分,,,,
第15章 微分方程,,,,
第16章 无穷级数,,,,
第17章 多元函数积分学的预备知识,,,,
第18章 多元函数积分学,,,,
线性代数,,,,
第1章 行列式,,11,5,0.45454545454545453
第2章 矩阵,,19,15,0.7894736842105263
第3章 向量组,,15,13,0.8666666666666667
第4章 线性方程组,,17,11,0.6470588235294118
第5章 特征值与特征向量,,,,
第6章 二次型,,,,
概率论与数理统计,,,,
第1章 随机事件与概率,,,,
第2章 一维随机变量及其分布,,,,
第3章 多维随机变量及其分布,,,,
第4章 随机变量的数字特征,,,,
第5章 大数定律与中心极限定理,,,,
第6章 数理统计,,,,
基础篇汇总,,266,212,0.7969924812030075
,,,,
强化篇,,,,
高等数学,,,,
第1章 函数极限与连续,,,,
第2章 数列极限,,,,
第3章 一元函数微分学的概念,,,,
第4章 一元函数微分学的计算,,,,
第5章 一元函数微分学的应用(一) ——几何应用,,,,
第6章 一元函数微分学的应用(二) ——中值定理、微分等式与微分不等式,,,,
第7章 一元函数微分学的应用(三) ——物理应用,,,,
第8章 一元函数积分学的概念与性质,,,,
第9章 一元函数积分学的计算,,,,
第10章 一元函数积分学的应用(一) ——几何应用,,,,
第11章 一元函数积分学的应用(二) ——积分等式与积分不等式,,,,
第12章 一元函数积分学的应用(三) ——物理应用,,,,
第13章 多元函数微分学,,,,
第14章 二重积分,,,,
第15章 微分方程,,,,
第16章 无穷级数,,,,
第17章 多元函数积分学的预备知识,,,,
第18章 多元函数积分学,,,,
强化篇汇总,,0,0,
,,,,
综合篇,,,,
线性代数,,,,
第1章 行列式,,,,
第2章 余子式和代数余子式的计算,,,,
第3章 矩阵运算,,,,
第4章 矩阵的秩,,,,
第5章 线性方程组,,,,
第6章 向量组,,,,
第7章 特征值与特征向量,,,,
第8章 相似理论,,,,
第9章 二次型,,,,
概率论与数理统计,,,,
第1章 随机事件和概率,,,,
第2章 一维随机变量及其分布,,,,
第3章 一维随机变量函数的分布,,,,
第4章 多维随机变量及其分布,,,,
第5章 多维随机变量函数的分布,,,,
第6章 数字特征,,,,
第7章 大数定律与中心极限定理,,,,
第8章 统计量及其分布,,,,
第9章 参数估计与假设检验,,,,
综合测试,,,,
测试卷一,,,,
测试卷二,,,,
测试卷三,,,,
测试卷四,,,,
综合篇汇总,,0,0,
,,,,
整本合计,,266,212,0.7969924812030075
