王道数据结构 课后习题正确率记录,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
一 刷,,,,,,,,,,,,二 刷,,,,,,,,,
小节,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率,,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率
第1章 绪论,,,,,,,,,,,,,,,,,,,,,
1.1 数据结构的基本概念,415,5,5,1,0,0,#DIV/0!,5,5,1,,,,,,,,,0,0,#DIV/0!
1.2 算法和算法评价,416,18,13,0.7222222222222222,7,4,0.5714285714285714,11,9,0.8181818181818182,,,,,,,,,0,0,#DIV/0!
第2章 线性表,,,,,,,,,,,,,,,,,,,,,
2.1 线性表的定义和基本操作,417,4,4,1,0,0,#DIV/0!,4,4,1,,,,,,,,,0,0,#DIV/0!
2.2 线性表的顺序表示,418,13,11,0.8461538461538461,1,1,1,12,10,0.8333333333333334,,,,,,,,,0,0,#DIV/0!
2.3 线性表的链式表示,419,36,26,0.7222222222222222,5,2,0.4,31,24,0.7741935483870968,,,,,,,,,0,0,#DIV/0!
第3章 栈、队列和数组,,,,,,,,,,,,,,,,,,,,,
3.1 栈,420,31,29,0.9354838709677419,6,5,0.8333333333333334,25,24,0.96,,,,,,,,,0,0,#DIV/0!
3.2 队列,421,24,18,0.75,5,4,0.8,19,14,0.7368421052631579,,,,,,,,,0,0,#DIV/0!
3.3 栈和队列的应用,422,20,17,0.85,9,8,0.8888888888888888,11,9,0.8181818181818182,,,,,,,,,0,0,#DIV/0!
3.4 数组和特殊矩阵,423,16,13,0.8125,6,4,0.6666666666666666,10,9,0.9,,,,,,,,,0,0,#DIV/0!
第4章 串,,,,,,,,,,,,,,,,,,,,,
4.1 串的定义和实现,424,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.2 串的模式匹配,424,12,10,0.8333333333333334,3,3,1,9,7,0.7777777777777778,,,,,,,,,0,0,#DIV/0!
第5章 树与二叉树,,,,,,,,,,,,,,,,,,,,,
5.1 树的基本概念,425,10,8,0.8,2,1,0.5,8,7,0.875,,,,,,,,,0,0,#DIV/0!
5.2 二叉树的概念,425,30,24,0.8,6,4,0.6666666666666666,24,20,0.8333333333333334,,,,,,,,,0,0,#DIV/0!
5.3 二叉树的遍历和线索二叉树,426,43,40,0.9302325581395349,12,11,0.9166666666666666,31,29,0.9354838709677419,,,,,,,,,0,0,#DIV/0!
5.4 树、森林,427,21,20,0.9523809523809523,7,7,1,14,13,0.9285714285714286,,,,,,,,,0,0,#DIV/0!
5.5 树与二叉树的应用,428,23,20,0.8695652173913043,10,9,0.9,13,11,0.8461538461538461,,,,,,,,,0,0,#DIV/0!
第6章 图,,,,,,,,,,,,,,,,,,,,,
6.1 图的基本概念,429,18,17,0.9444444444444444,4,3,0.75,14,14,1,,,,,,,,,0,0,#DIV/0!
6.2 图的存储及基本操作,430,20,19,0.95,2,2,1,18,17,0.9444444444444444,,,,,,,,,0,0,#DIV/0!
6.3 图的遍历,501,18,14,0.7777777777777778,4,3,0.75,14,11,0.7857142857142857,,,,,,,,,0,0,#DIV/0!
6.4 图的应用,502,47,40,0.851063829787234,21,18,0.8571428571428571,26,22,0.8461538461538461,,,,,,,,,0,0,#DIV/0!
第7章 查找,,,,,,,,,,,,,,,,,,,,,
7.1 查找的基本概念,503,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
7.2 顺序查找和折半查找,503,26,23,0.8846153846153846,7,6,0.8571428571428571,19,17,0.8947368421052632,,,,,,,,,0,0,#DIV/0!
7.3 树形查找,503,27,20,0.7407407407407407,12,10,0.8333333333333334,15,10,0.6666666666666666,未包含红黑树,,,,,,,,0,0,#DIV/0!
7.4 B树和B+树,504,25,23,0.92,12,11,0.9166666666666666,13,12,0.9230769230769231,,,,,,,,,0,0,#DIV/0!
7.5 散列(Hash)表,504,24,23,0.9583333333333334,7,7,1,17,16,0.9411764705882353,,,,,,,,,0,0,#DIV/0!
第8章 排序,,,,,,,,,,,,,,,,,,,,,
8.1 排序的基本概念,505,3,3,1,0,0,#DIV/0!,3,3,1,,,,,,,,,0,0,#DIV/0!
8.2 插入排序,505,20,18,0.9,4,4,1,16,14,0.875,,,,,,,,,0,0,#DIV/0!
8.3 交换排序,505,20,18,0.9,6,6,1,14,12,0.8571428571428571,,,,,,,,,0,0,#DIV/0!
8.4 选择排序,505,21,16,0.7619047619047619,7,5,0.7142857142857143,14,11,0.7857142857142857,,,,,,,,,0,0,#DIV/0!
8.5 归并排序、基数排序和计数排序,506,20,16,0.8,6,4,0.6666666666666666,14,12,0.8571428571428571,,,,,,,,,0,0,#DIV/0!
8.6 各种内部排序算法的比较及应用,506,,,,,,,0,0,#DIV/0!,未完成,,,,,,,,0,0,#DIV/0!
8.7 外部排序,506,,,,,,,0,0,#DIV/0!,未完成,,,,,,,,0,0,#DIV/0!
合计,,595,508,0.853781512605042,171,142,0.8304093567251462,424,366,0.8632075471698113,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,
总  计,,595,508,0.853781512605042,171,142,0.8304093567251462,424,366,0.8632075471698113,,,,,,,,,,,
