source_file,title,chapter,chapter_no,section,section_no,date_or_page,first_total,first_correct,first_wrong,first_rate,second_total,second_correct,second_wrong,second_rate,has_first_data,has_second_data,section_order,first_rate_pct,second_rate_pct
01_张宇1000题.csv,张宇1000题 习题册正确率记录,未分章,,基础篇,,,0,0,0,,0,0,0,,False,False,1,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,未分章,,高等数学,,,0,0,0,,0,0,0,,False,False,2,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,未分章,,零基础,,514,1,1,0,1.0,0,0,0,,True,False,3,100.0,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第18章 多元函数积分学,18.0,线性代数,,,0,0,0,,0,0,0,,False,False,1,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第6章 二次型,6.0,概率论与数理统计,,,0,0,0,,0,0,0,,False,False,1,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第6章 数理统计,6.0,基础篇合计,,,257,203,54,0.7898832684824902,0,0,0,,True,False,1,78.98832684824903,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第6章 数理统计,6.0,强化篇,,,0,0,0,,0,0,0,,False,False,2,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第6章 数理统计,6.0,高等数学,,,0,0,0,,0,0,0,,False,False,3,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第18章 多元函数积分学,18.0,线性代数,,,0,0,0,,0,0,0,,False,False,2,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 二次型,9.0,概率论与数理统计,,,0,0,0,,0,0,0,,False,False,1,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,强化篇合计,,,0,0,0,,0,0,0,,False,False,1,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,综合篇,,,0,0,0,,0,0,0,,False,False,2,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,综合测试,,,0,0,0,,0,0,0,,False,False,3,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,测试卷一,,,0,0,0,,0,0,0,,False,False,4,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,测试卷二,,,0,0,0,,0,0,0,,False,False,5,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,测试卷三,,,0,0,0,,0,0,0,,False,False,6,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,测试卷四,,,0,0,0,,0,0,0,,False,False,7,,
01_张宇1000题.csv,张宇1000题 习题册正确率记录,第9章 参数估计与假设检验,9.0,综合篇合计,,,0,0,0,,0,0,0,,False,False,8,,
