王道操作系统 课后习题正确率记录,,,,,,,,
,,,,,,,,
【 一 刷 】,,,,,,【 二 刷 】,,
小节,日期,总题目,正确数,正确率,,总题,正确,正确率
第1章 计算机系统概述,,,,,,,,
1.1 操作系统的基本概念,530,11,10,0.9090909090909091,,,,
1.2 操作系统发展历程,530,20,14,0.7,,,,
1.3 操作系统的运行环境,530,33,25,0.7575757575757576,,,,
1.4 操作系统结构,531,22,14,0.6363636363636364,,,,
1.5 操作系统引导,531,22,14,0.6363636363636364,,,,
1.6 虚拟机,531,22,14,0.6363636363636364,,,,
第2章 进程与线程,,,,,,,,
2.1 进程与线程简介,601,73,53,0.726027397260274,,,,
2.2 CPU调度,602,57,46,0.8070175438596491,,,,
2.3 同步与互斥,606,56,46,0.8214285714285714,,,,
2.4 死锁,607,45,38,0.8444444444444444,,,,
第3章 内存管理,,,,,,,,
3.1 内存管理概念,,,,,,,,
3.2 虚拟内存管理,,,,,,,,
第4章 文件管理,,,,,,,,
4.1 文件系统基础,,,,,,,,
4.2 目录与文件,,,,,,,,
4.3 文件系统,,,,,,,,
第5章 输入/输出管理,,,,,,,,
5.1 I/O管理概述,,,,,,,,
5.2 设备独立性软件,,,,,,,,
5.3 磁盘和固态硬盘,,,,,,,,
合计,,361,274,0.7590027700831025,,0,0,
,,,,,,,,
总  计,,361,274,0.7590027700831025,,,,
