source_file,title,chapter,chapter_no,section,section_no,total,correct,wrong,rate,zt_total,zt_correct,zb_total,zb_correct,has_data,section_order
王道计组,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.1 计算机发展历程,1.1,0,0,0,0.0,0,0,0,0,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.2 计算机系统层次结构,1.2,14,13,1,0.9285714285714286,4,3,10,10,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.3 计算机的性能指标,1.3,20,12,8,0.6,9,7,11,5,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.1 数制与编码,2.1,34,25,9,0.7352941176470589,8,4,26,21,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.2 运算方法和运算电路,2.2,35,25,10,0.7142857142857143,11,9,24,16,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.3 浮点数的表示与运算,2.3,45,37,8,0.8222222222222222,20,18,25,19,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.1 存储器概述,3.1,11,10,1,0.9090909090909091,0,0,11,10,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.2 主存储器,3.2,37,30,7,0.8108108108108109,9,9,28,21,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.3 主存储器与CPU的连接,3.3,15,11,4,0.7333333333333333,6,5,9,6,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.4 外部存储器,3.4,12,9,3,0.75,4,4,8,5,True,4
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.5 高速缓冲存储器,3.5,35,22,13,0.6285714285714286,8,6,27,16,True,5
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.6 虚拟存储器,3.6,20,12,8,0.6,9,4,11,8,True,6
王道计组,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.1 指令系统,4.1,16,12,4,0.75,4,3,12,9,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.2 寻址方式,4.2,33,25,8,0.7575757575757576,11,10,22,15,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.4 CISC和RISC的基本概念,4.4,6,6,0,1.0,2,2,4,4,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.1 CPU的功能和基本结构,5.1,24,15,9,0.625,3,2,21,13,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.2 指令执行过程,5.2,11,8,3,0.7272727272727273,2,0,9,8,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.3 数据通路的功能和基本结构,5.3,18,12,6,0.6666666666666666,4,3,14,9,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.4 控制器的功能和工作原理,5.4,27,22,5,0.8148148148148148,7,6,20,16,True,4
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.5 异常和中断机制,5.5,13,7,6,0.5384615384615384,4,4,9,3,True,5
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.6 指令流水线,5.6,33,31,2,0.9393939393939394,15,14,18,17,True,6
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.7 多处理器的基本概念,5.7,12,10,2,0.8333333333333334,1,1,11,9,True,7
王道计组,王道计算机组成原理 课后习题正确率记录,第6章 总线,6,6.1 总线概述,6.1,25,20,5,0.8,10,8,15,12,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第6章 总线,6,6.2 总线事务和定时,6.2,20,16,4,0.8,8,7,12,9,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.1 I/O系统基本概念,7.1,4,4,0,1.0,1,1,3,3,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.2 I/O接口,7.2,17,10,7,0.5882352941176471,4,2,13,8,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.3 I/O方式,7.3,55,33,22,0.6,23,15,32,18,True,3
