source_file,title,chapter,chapter_no,section,section_no,total,correct,wrong,rate,zt_total,zt_correct,zb_total,zb_correct,has_data,section_order
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.5 异常和中断机制,5.5,13,7,6,0.5384615384615384,4,4,9,3,True,5
王道计组,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.2 I/O接口,7.2,17,10,7,0.5882352941176471,4,2,13,8,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.3 I/O方式,7.3,55,33,22,0.6,23,15,32,18,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.3 计算机的性能指标,1.3,20,12,8,0.6,9,7,11,5,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.6 虚拟存储器,3.6,20,12,8,0.6,9,4,11,8,True,6
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.1 CPU的功能和基本结构,5.1,24,15,9,0.625,3,2,21,13,True,1
王道计组,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.5 高速缓冲存储器,3.5,35,22,13,0.6285714285714286,8,6,27,16,True,5
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.3 数据通路的功能和基本结构,5.3,18,12,6,0.6666666666666666,4,3,14,9,True,3
王道计组,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.2 运算方法和运算电路,2.2,35,25,10,0.7142857142857143,11,9,24,16,True,2
王道计组,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.2 指令执行过程,5.2,11,8,3,0.7272727272727273,2,0,9,8,True,2
