source_file,title,chapter,chapter_no,section,section_no,total,correct,wrong,rate,zt_total,zt_correct,zb_total,zb_correct,has_data,section_order
王道数据结构,王道数据结构 课后习题正确率记录,第2章 线性表,2,2.3 线性表的链式表示,2.3,36,26,10,0.7222222222222222,5,2,31,24,True,3
王道数据结构,王道数据结构 课后习题正确率记录,第1章 绪论,1,1.2 算法和算法评价,1.2,18,13,5,0.7222222222222222,7,4,11,9,True,2
王道数据结构,王道数据结构 课后习题正确率记录,第7章 查找,7,7.3 树形查找,7.3,27,20,7,0.7407407407407407,12,10,15,10,True,3
王道数据结构,王道数据结构 课后习题正确率记录,第3章 栈、队列和数组,3,3.2 队列,3.2,24,18,6,0.75,5,4,19,14,True,2
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.4 选择排序,8.4,21,16,5,0.7619047619047619,7,5,14,11,True,4
王道数据结构,王道数据结构 课后习题正确率记录,第6章 图,6,6.3 图的遍历,6.3,18,14,4,0.7777777777777778,4,3,14,11,True,3
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.2 二叉树的概念,5.2,30,24,6,0.8,6,4,24,20,True,2
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.5 归并排序、基数排序和计数排序,8.5,20,16,4,0.8,6,4,14,12,True,5
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.1 树的基本概念,5.1,10,8,2,0.8,2,1,8,7,True,1
王道数据结构,王道数据结构 课后习题正确率记录,第3章 栈、队列和数组,3,3.4 数组和特殊矩阵,3.4,16,13,3,0.8125,6,4,10,9,True,4
