王道计算机组成原理 课后习题正确率记录,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
一 刷,,,,,,,,,,,,二 刷,,,,,,,,,
小节,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率,,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率
第1章 计算机系统概述,,,,,,,,,,,,,,,,,,,,,
1.1 计算机发展历程,507,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
1.2 计算机系统层次结构,507,14,13,0.9285714285714286,4,3,0.75,10,10,1,,,,,,,,,0,0,#DIV/0!
1.3 计算机的性能指标,508,20,12,0.6,9,7,0.7777777777777778,11,5,0.45454545454545453,,,,,,,,,0,0,#DIV/0!
第2章 数据的表示和运算,,,,,,,,,,,,,,,,,,,,,
2.1 数制与编码,509,34,25,0.7352941176470589,8,4,0.5,26,21,0.8076923076923077,,,,,,,,,0,0,#DIV/0!
2.2 运算方法和运算电路,510,35,25,0.7142857142857143,11,9,0.8181818181818182,24,16,0.6666666666666666,,,,,,,,,0,0,#DIV/0!
2.3 浮点数的表示与运算,512,45,37,0.8222222222222222,20,18,0.9,25,19,0.76,,,,,,,,,0,0,#DIV/0!
第3章 存储系统,,,,,,,,,,,,,,,,,,,,,
3.1 存储器概述,513,11,10,0.9090909090909091,0,0,#DIV/0!,11,10,0.9090909090909091,,,,,,,,,0,0,#DIV/0!
3.2 主存储器,514,37,30,0.8108108108108109,9,9,1,28,21,0.75,,,,,,,,,0,0,#DIV/0!
3.3 主存储器与CPU的连接,515,15,11,0.7333333333333333,6,5,0.8333333333333334,9,6,0.6666666666666666,,,,,,,,,0,0,#DIV/0!
3.4 外部存储器,516,12,9,0.75,4,4,1,8,5,0.625,,,,,,,,,0,0,#DIV/0!
3.5 高速缓冲存储器,516,35,22,0.6285714285714286,8,6,0.75,27,16,0.5925925925925926,,,,,,,,,0,0,#DIV/0!
3.6 虚拟存储器,517,20,12,0.6,9,4,0.4444444444444444,11,8,0.7272727272727273,,,,,,,,,0,0,#DIV/0!
第4章 指令系统,,,,,,,,,,,,,,,,,,,,,
4.1 指令系统,518,16,12,0.75,4,3,0.75,12,9,0.75,,,,,,,,,0,0,#DIV/0!
4.2 寻址方式,518,33,25,0.7575757575757576,11,10,0.9090909090909091,22,15,0.6818181818181818,,,,,,,,,0,0,#DIV/0!
4.3 程序的机器级代码表示,519,,,,0,0,#DIV/0!,0,0,#DIV/0!,未完成,,,,,,,,0,0,#DIV/0!
4.4 CISC和RISC的基本概念,520,6,6,1,2,2,1,4,4,1,,,,,,,,,0,0,#DIV/0!
第5章 中央处理器,,,,,,,,,,,,,,,,,,,,,
5.1 CPU的功能和基本结构,521,24,15,0.625,3,2,0.6666666666666666,21,13,0.6190476190476191,,,,,,,,,0,0,#DIV/0!
5.2 指令执行过程,521,11,8,0.7272727272727273,2,0,0,9,8,0.8888888888888888,,,,,,,,,0,0,#DIV/0!
5.3 数据通路的功能和基本结构,522,18,12,0.6666666666666666,4,3,0.75,14,9,0.6428571428571429,,,,,,,,,0,0,#DIV/0!
5.4 控制器的功能和工作原理,523,27,22,0.8148148148148148,7,6,0.8571428571428571,20,16,0.8,,,,,,,,,0,0,#DIV/0!
5.5 异常和中断机制,524,13,7,0.5384615384615384,4,4,1,9,3,0.3333333333333333,,,,,,,,,0,0,#DIV/0!
5.6 指令流水线,525,33,31,0.9393939393939394,15,14,0.9333333333333333,18,17,0.9444444444444444,,,,,,,,,0,0,#DIV/0!
5.7 多处理器的基本概念,525,12,10,0.8333333333333334,1,1,1,11,9,0.8181818181818182,,,,,,,,,0,0,#DIV/0!
第6章 总线,,,,,,,,,,,,,,,,,,,,,
6.1 总线概述,526,25,20,0.8,10,8,0.8,15,12,0.8,,,,,,,,,0,0,#DIV/0!
6.2 总线事务和定时,526,20,16,0.8,8,7,0.875,12,9,0.75,,,,,,,,,0,0,#DIV/0!
第7章 输入/输出系统,,,,,,,,,,,,,,,,,,,,,
7.1 I/O系统基本概念,526,4,4,1,1,1,1,3,3,1,,,,,,,,,0,0,#DIV/0!
7.2 I/O接口,527,17,10,0.5882352941176471,4,2,0.5,13,8,0.6153846153846154,,,,,,,,,0,0,#DIV/0!
7.3 I/O方式,528,55,33,0.6,23,15,0.6521739130434783,32,18,0.5625,,,,,,,,,0,0,#DIV/0!
合计,,592,437,0.7381756756756757,187,147,0.786096256684492,405,290,0.7160493827160493,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,
总  计,,592,437,0.7381756756756757,187,147,0.786096256684492,405,290,0.7160493827160493,,,,,,,,,,,
