王道操作系统 课后习题正确率记录,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
一 刷,,,,,,,,,,,,二 刷,,,,,,,,,
小节,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率,,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率
第1章 计算机系统概述,,,,,,,,,,,,,,,,,,,,,
1.1 操作系统的基本概念,530,11,10,0.9090909090909091,1,1,1,10,9,0.9,,,,,,,,,0,0,#DIV/0!
1.2 操作系统发展历程,530,20,14,0.7,4,3,0.75,16,11,0.6875,,,,,,,,,0,0,#DIV/0!
1.3 操作系统的运行环境,530,33,25,0.7575757575757576,18,13,0.7222222222222222,15,12,0.8,,,,,,,,,0,0,#DIV/0!
1.4 操作系统结构,531,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
1.5 操作系统引导,531,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
1.6 虚拟机,531,22,14,0.6363636363636364,4,3,0.75,18,11,0.6111111111111112,,,,,,,,,0,0,#DIV/0!
第2章 进程与线程,,,,,,,,,,,,,,,,,,,,,
2.1 进程与线程简介,601,73,53,0.726027397260274,16,9,0.5625,57,44,0.7719298245614035,,,,,,,,,0,0,#DIV/0!
2.2 CPU调度,602,57,46,0.8070175438596491,21,16,0.7619047619047619,36,30,0.8333333333333334,,,,,,,,,0,0,#DIV/0!
2.3 同步与互斥,606,56,46,0.8214285714285714,10,9,0.9,46,37,0.8043478260869565,,,,,,,,,0,0,#DIV/0!
2.4 死锁,607,45,38,0.8444444444444444,12,11,0.9166666666666666,33,27,0.8181818181818182,,,,,,,,,0,0,#DIV/0!
第3章 内存管理,,,,,,,,,,,,,,,,,,,,,
3.1 内存管理概念,609,72,51,0.7083333333333334,14,10,0.7142857142857143,58,41,0.7068965517241379,,,,,,,,,0,0,#DIV/0!
3.2 虚拟内存管理,610,61,46,0.7540983606557377,19,14,0.7368421052631579,42,32,0.7619047619047619,,,,,,,,,0,0,#DIV/0!
第4章 文件管理,,,,,,,,,,,,,,,,,,,,,
4.1 文件系统基础,611,5,5,1,0,0,#DIV/0!,5,5,1,,,,,,,,,0,0,#DIV/0!
4.2 目录与文件,614,70,42,0.6,22,13,0.5909090909090909,48,29,0.6041666666666666,,,,,,,,,0,0,#DIV/0!
4.3 文件系统,614,18,15,0.8333333333333334,6,6,1,12,9,0.75,,,,,,,,,0,0,#DIV/0!
第5章 输入/输出管理,,,,,,,,,,,,,,,,,,,,,
5.1 I/O管理概述,614,26,17,0.6538461538461539,4,4,1,22,13,0.5909090909090909,,,,,,,,,0,0,#DIV/0!
5.2 设备独立性软件,615,46,33,0.717391304347826,11,7,0.6363636363636364,35,26,0.7428571428571429,,,,,,,,,0,0,#DIV/0!
5.3 磁盘和固态硬盘,615,35,29,0.8285714285714286,9,8,0.8888888888888888,26,21,0.8076923076923077,,,,,,,,,0,0,#DIV/0!
合计,,650,484,0.7446153846153846,171,127,0.7426900584795322,479,357,0.7453027139874739,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,
总  计,,650,484,0.7446153846153846,171,127,0.7426900584795322,479,357,0.7453027139874739,,,,,,,,,,,
