王道计算机网络 课后习题正确率记录,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
一 刷,,,,,,,,,,,,二 刷,,,,,,,,,
小节,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率,,日期,总题目,正确数,正确率,真题总,真题正,真题率,自编总,自编正,自编率
第1章 计算机网络体系结构,,,,,,,,,,,,,,,,,,,,,
1.1 计算机网络概述,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
1.2 计算机网络体系结构与参考模型,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
第2章 物理层,,,,,,,,,,,,,,,,,,,,,
2.1 通信基础,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
2.2 传输介质,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
2.3 物理层设备,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
第3章 数据链路层,,,,,,,,,,,,,,,,,,,,,
3.1 数据链路层的功能,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.2 组帧,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.3 差错控制,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.4 流量控制与可靠传输机制,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.5 介质访问控制,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.6 局域网,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.7 广域网,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
3.8 数据链路层设备,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
第4章 网络层,,,,,,,,,,,,,,,,,,,,,
4.1 网络层的功能,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.2 IPv4,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.3 IPv6,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.4 路由算法与路由协议,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.5 IP多播,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.6 移动IP,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
4.7 网络层设备,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
第5章 传输层,,,,,,,,,,,,,,,,,,,,,
5.1 传输层提供的服务,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
5.2 UDP,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
5.3 TCP,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
第6章 应用层,,,,,,,,,,,,,,,,,,,,,
6.1 网络应用模型,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
6.2 域名系统,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
6.3 文件传输协议,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
6.4 电子邮件,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
6.5 万维网,,,,,,,,0,0,#DIV/0!,,,,,,,,,0,0,#DIV/0!
合计,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,
总  计,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,
