source_file,title,chapter,chapter_no,section,section_no,date_or_page,first_total,first_correct,first_wrong,first_rate,second_total,second_correct,second_wrong,second_rate,has_first_data,has_second_data,section_order,first_rate_pct,second_rate_pct
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第1章 计算机网络体系结构,1,1.1 计算机网络概述,1.1,,0,0,0,,0,0,0,0,False,True,1,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第1章 计算机网络体系结构,1,1.2 计算机网络体系结构与参考模型,1.2,,0,0,0,,0,0,0,0,False,True,2,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第2章 物理层,2,2.1 通信基础,2.1,,0,0,0,,0,0,0,0,False,True,1,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第2章 物理层,2,2.2 传输介质,2.2,,0,0,0,,0,0,0,0,False,True,2,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第2章 物理层,2,2.3 物理层设备,2.3,,0,0,0,,0,0,0,0,False,True,3,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.1 数据链路层的功能,3.1,,0,0,0,,0,0,0,0,False,True,1,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.2 组帧,3.2,,0,0,0,,0,0,0,0,False,True,2,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.3 差错控制,3.3,,0,0,0,,0,0,0,0,False,True,3,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.4 流量控制与可靠传输机制,3.4,,0,0,0,,0,0,0,0,False,True,4,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.5 介质访问控制,3.5,,0,0,0,,0,0,0,0,False,True,5,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.6 局域网,3.6,,0,0,0,,0,0,0,0,False,True,6,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.7 广域网,3.7,,0,0,0,,0,0,0,0,False,True,7,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第3章 数据链路层,3,3.8 数据链路层设备,3.8,,0,0,0,,0,0,0,0,False,True,8,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.1 网络层的功能,4.1,,0,0,0,,0,0,0,0,False,True,1,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.2 IPv4,4.2,,0,0,0,,0,0,0,0,False,True,2,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.3 IPv6,4.3,,0,0,0,,0,0,0,0,False,True,3,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.4 路由算法与路由协议,4.4,,0,0,0,,0,0,0,0,False,True,4,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.5 IP多播,4.5,,0,0,0,,0,0,0,0,False,True,5,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.6 移动IP,4.6,,0,0,0,,0,0,0,0,False,True,6,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第4章 网络层,4,4.7 网络层设备,4.7,,0,0,0,,0,0,0,0,False,True,7,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第5章 传输层,5,5.1 传输层提供的服务,5.1,,0,0,0,,0,0,0,0,False,True,1,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第5章 传输层,5,5.2 UDP,5.2,,0,0,0,,0,0,0,0,False,True,2,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第5章 传输层,5,5.3 TCP,5.3,,0,0,0,,0,0,0,0,False,True,3,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第6章 应用层,6,6.1 网络应用模型,6.1,,0,0,0,,0,0,0,0,False,True,1,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第6章 应用层,6,6.2 域名系统,6.2,,0,0,0,,0,0,0,0,False,True,2,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第6章 应用层,6,6.3 文件传输协议,6.3,,0,0,0,,0,0,0,0,False,True,3,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第6章 应用层,6,6.4 电子邮件,6.4,,0,0,0,,0,0,0,0,False,True,4,,0
07_王道计网.csv,王道计算机网络 课后习题正确率记录,第6章 应用层,6,6.5 万维网,6.5,,0,0,0,,0,0,0,0,False,True,5,,0
