source_file,title,chapter,chapter_no,section,section_no,total,correct,wrong,rate,zt_total,zt_correct,zb_total,zb_correct,has_data,section_order,date_or_page,first_total,first_correct,first_wrong,first_rate,second_total,second_correct,second_wrong,second_rate,has_first_data,has_second_data,first_rate_pct,second_rate_pct
王道数据结构,王道数据结构 课后习题正确率记录,第1章 绪论,1,1.1 数据结构的基本概念,1.1,5.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第1章 绪论,1,1.2 算法和算法评价,1.2,18.0,13.0,5.0,0.7222222222222222,7.0,4.0,11.0,9.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第2章 线性表,2,2.1 线性表的定义和基本操作,2.1,4.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第2章 线性表,2,2.2 线性表的顺序表示,2.2,13.0,11.0,2.0,0.8461538461538461,1.0,1.0,12.0,10.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第2章 线性表,2,2.3 线性表的链式表示,2.3,36.0,26.0,10.0,0.7222222222222222,5.0,2.0,31.0,24.0,True,3,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第3章 栈、队列和数组,3,3.1 栈,3.1,31.0,29.0,2.0,0.935483870967742,6.0,5.0,25.0,24.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第3章 栈、队列和数组,3,3.2 队列,3.2,24.0,18.0,6.0,0.75,5.0,4.0,19.0,14.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第3章 栈、队列和数组,3,3.3 栈和队列的应用,3.3,20.0,17.0,3.0,0.85,9.0,8.0,11.0,9.0,True,3,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第3章 栈、队列和数组,3,3.4 数组和特殊矩阵,3.4,16.0,13.0,3.0,0.8125,6.0,4.0,10.0,9.0,True,4,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第4章 串,4,4.1 串的定义和实现,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第4章 串,4,4.2 串的模式匹配,4.2,12.0,10.0,2.0,0.8333333333333334,3.0,3.0,9.0,7.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.1 树的基本概念,5.1,10.0,8.0,2.0,0.8,2.0,1.0,8.0,7.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.2 二叉树的概念,5.2,30.0,24.0,6.0,0.8,6.0,4.0,24.0,20.0,True,2,,,,,,,,,,,,,
